"Global cluster",Code,Sub-domain,Title,Description/Rationale,Denominator,Disaggregation,"General guidance","Guidance for pre-crisis/baseline","Guidance on phases","Indicator used for response monitoring?","Key indicator",Level,Numerator,"Phase applicability","Sector cross-tagging","Sectoral objective",Standards,"Strategic objective","Threshold / Standard",Types,"Unit Description","Unit of Measurement"
"Water Sanitation Hygiene",W1-2,"W1.1 Hygiene items","Proportion of households possessing at least one clean narrow-necked or covered water container for drinking-water","Narrow-necked or covered water containers include jerricans and buckets with tight-filling lid and tap or pouring hole, so as to prevent people (including children) from putting their hands or contaminated objects into the container. Container should be clean in the sense of being free from visible dirt and should have been washed within the last week.","Total nb of households in the sample",N/A,"Before starting the survey, surveyors should look at the types of water containers typically being used and agree on what they will record as acceptable and unacceptable containers. If the container has not been washed within the past week but there is no visible dirt, which may often be the case if the container is relatively new or the water supply is clear and chlorinated, it should be recorded as clean. If it is observed that suitable water containers are present in the household but are not in use or are being used for other purposes such as storing food, surveyors should discuss this to find out why. Unless there are important reasons why the container is not used for drinking water then it should be recorded as present. For more rapid assessment, a survey of water containers brought to water-collection points could substitute for a household survey although here may not be a representative sample of water containers at any water point.",N/A,,No,,,"Nb of households possessing suitable water container",,"H3 Communicable diseases, N1 Prevention and Management of Acute Malnutrition, S2.1 Access, C3.9 Service Provision - WASH &/or Shelter, S2.2 Assistance, H6 Environmental Health",,SPHERE,,"Follow-up of trends. Target: 100%","Baseline, Output",Percentage,Household
"Water Sanitation Hygiene",W1-3,"W1.1 Hygiene items","Average total capacity of water collection and storage containers at household level","Water collection and storage containers may include a range of sizes and types of container, including traditional containers, containers made from recycled materials and manufactured containers such as jerricans. Total capacity is the volume, in litres of all the water containers available for collection and storage in the household.",N/A,N/A,"Estimate the total capacity (volume) of the water containers for each household in the survey. Add all volumes recorded and divide by the number of households surveyed",N/A,,No,,,N/A,,"H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, S2.1 Access, S2.2 Assistance, C3.9 Service Provision - WASH &/or Shelter, F7 Utilization",,SPHERE,,N/A,"Baseline, Output",Litres,Household
"Water Sanitation Hygiene",W1-4,"W1.1 Hygiene items","Proportion of households with appropriate water treatment supplies and equipment","Water-treatment supplies and equipment includes chemicals for flocculation and disinfection, filter systems and equipment and fuel for boiling. Equipment and supplies are appropriate where they are already known by the population concerned or where they are simple enough for the people concerned to use them safely and effectively with the instructions provided.","Total nb of households in the sample",N/A,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?",N/A,,,,,"Nb of households possessing appropriate water-treatment supplies",,"E1 Access and Learning Environment, F7 Utilization, N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, S2.1 Access, S2.2 Assistance, C3.9 Service Provision - WASH &/or Shelter, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health",,SPHERE,,"Follow-up of trends. Target: 100%","Baseline, Output",Percentage,Household
"Water Sanitation Hygiene",W1-5,"W1.1 Hygiene items","Accessibility of appropriate sanitary protection materials for menstruation, and underwear, for women and girls","Appropriate sanitary protection materials are the materials that women and girls are accustomed to using in normal circumstances, in sufficient quantities and of an acceptable quality. Convenient and private places for washing and drying reusable cloths may also be necessary in some circumstances. Widespread lack of access means that it is difficult or impossible to get access to materials because they are simply not available or not affordable. Some lack of access means that it is generally possible to procure materials but that this is significantly more difficult than before the crisis or that some groups of women and girls cannot procure suitable materials.",N/A,N/A,"Normal methods for procuring sanitary protection materials for menstruation may be disrupted by a disaster and, where washable cloths are used, facilities for washing and drying cloths correctly and privately may be lacking. The resulting lack of access to appropriate materials and underwear may lead to situations of embarrassment and distress, affecting girls and women's access to education, economic or social activities.  In some cases,it increases the risk of infectious disease through the reuse of incorrectly washed and dried cloths and underwear. In order to get information on the availability of sanitary protection and on the type of female hygiene material being used in the community, focus group discussions should be conducted with adolescent gitls and women of reproductive age, preferably broken down by age , including, where  deemed important, female members of ethnic or religious minorities.  Due to the sensitive nature of the issue, the consultation should be carried by a female staff member.",N/A,,No,,,N/A,,"E1 Access and Learning Environment, S2.1 Access, C3.9 Service Provision - WASH &/or Shelter, S2.2 Assistance, H6 Environmental Health",,SPHERE,,N/A,"Baseline, Output",Yes/No,Individual
"Water Sanitation Hygiene",W1-6,"W1.1 Hygiene items","Proportion of households possessing one or more effective insecticide-treated mosquito nets","Insecticide-treated nets are nets for hanging over sleeping places, treated with an insecticide that repels, disables and kills mosquitoes coming into contact with them. They may be of ordinary netting that is periodically retreated with insecticide, or they may be long-lasting insecticide-treated nets (LLIN's), with the insecticide within or bound around the fibres of the netting. Conventionally treated nets are effective if they have been retreated correctly within the last six months (or the last year the case of some chemicals), not washed more than three times since the last treatment and without holes or tears. LLIN's are effective if they are not older, and have not been washed more often, than recommended by the manufacturer (commonly no more than 20 washes and no more than 3 years old) and are without large holes or tears. Nets should be of a size and shape that allows them to be hung over the bedding used.","Total nb of households in the sample",N/A,"In malarial areas, people are able to protect themselves from malaria if they possess one or more effective nets for sleeping under. The most vulnerable people in the household are likely to be pregnant women and under-five children anybody whose immunity to malaria is suppressed by infectious disease or malnutrition. There should be sufficient net available to protect these vulnerable people as a minimum. WHO recommends full coverage for all people at risk of malaria where insecticide-treated nets are used for malaria prevention. Nets that are unused, including any that are in unopened packages, should be included. This indicator measures possession of nets, not use. Surveyors may wish to learn why nets are not used, in order to inform hygiene-promotion activities.",N/A,,,,,"Nb of household possessing one or more effective insecticide-treated mosquito nets",,"H3 Communicable diseases, H6 Environmental Health, C3.9 Service Provision - WASH &/or Shelter, S2.1 Access, S2.2 Assistance, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"Follow-up of trends. Target: 100%","Baseline, Output",Percentage,Household
"Water Sanitation Hygiene",W1-7,"W1.2 Hygiene Practices","Proportion of households where only safe water is used for drinking and cooking","Safe water is defined as water that: (1) comes from a protected and/or treated water supply and/or is treated at household or point of use; (2) is collected and stored in clean covered or narrow-necked containers; (3) is transferred safely during collection at the water point, when transferring from collection containers to storage, (4) containers and when transferring to containers used for drinking or cooking","Total nb of households in the sample",N/A,"Ascertain where water for drinking and cooking is collected from and check whether or not any other water sources are used. Observe the presence, type and state of water containers, which should be cleaned at least once per week to be considered clean. Where household or point-of-use treatment is required, ask to see the water-treatment equipment a products used and, if chlorine-based treatment is used, check if there is a free chlorine residual in the water. Model questions for survey: What is the main source of drinking water for members of this household? Do you ever drink water from other sources? If YES, which ones? May I see the containers you use for collecting water, please? Do you store water for drinking in the household? If YES, may I see the containers, please? Observe and check if the containers are covered. Who takes water from these containers? How do you remove water from the drinking water container? What do you use to remove water? Are the water containers cleaned? When were they cleaned last? Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? When did you treat your drinking water the last time using this method? If water is treated by a method other than boiling, may I see the product or device? If blench, chlorine or tap water, test water for free chlorine",N/A,,Yes,,,"Nb of households where all three criteria of safe water are met",,"C3.2 Service Provision - WASH, (R) Early Recovery, S1.1 Access, S1.2 Assistance, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, F7 Utilization, E1 Access and Learning Environment, N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding",,SPHERE,,"Follow-up of trends. Target: 100%","Baseline, Outcome",Percentage,Household
"Water Sanitation Hygiene",W1-8,"W1.2 Hygiene Practices","Proportion of men, women, boys and girls who last defecated in a toilet (or whose faeces was last disposed of in a safe manner)","A hygienic toilet is a facility that is designed, located, built and managed in such a way that users can conveniently ensure their excreta is contained, isolated and/or treated so that it is not a source of contamination. Typical hygienic toilets include standard types of pit latrine, composting toilets, chemical toilets and flushing toilets with water-borne sewerage or septic tanks, as well as more basic traditional systems used in low-density settlements.","Total Nb of individuals in the household sample","disaggregated by sex and age","It is difficult to get reliable information about the actual use of toilets during a household survey. It is useful to crosscheck survey data with voting proportions from a pocket chart exercise in a focus-group discussion where people can indicate privately what their hygiene practices are.
Model questions for survey: 1) at present, where do adult members of this household go to the toilet? Where do children in this household go to the toilet? Are women's, girls' , boys'and men's practices different? If so, why (i.e. lack of hygiene awareness or protection & dignity issues preventing certain household members from using the latrines)? 
If children go to the toilet on the floor or in a nappy, what is done with the faeces? Observe if there is faces around the living area",N/A,,Yes,,,"Nb of individuals who last defecated in a hygienic toilet",,"H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, (R) Early Recovery, C3.2 Service Provision - WASH, E1 Access and Learning Environment, S1.1 Access, S1.2 Assistance, N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding",,SPHERE,,"Follow-up of trends. Target: 100%","Baseline, Outcome",Percentage,Community
"Water Sanitation Hygiene",W1-9,"W1.2 Hygiene Practices","Proportion of men, women, boys and girls washing hands with water and soap or substitute after contact with faeces and before contact with food and water","This indicator does not measure actual handwashing, as observed in practice or as a demonstration by respondents: this may not be feasible or appropriate in many emergency situations. Respondents' reports of having used soap or a substitute for handwashing at critical times in the past 24 hours is an alternative. Substitutes for soap are wood ash and clean soil or sand. Contact with faeces includes changing babies, picking up children's faeces and changing and cleaning people in care.","Total nb of people surveyed in the sample","disaggregated by sex and age","There are two elements to this indicator: 1. handwashing at critical times; 2. use of soap or substitute (which is a proxy for correct handwashing). A positive result should only be reported if both are mentioned by the respondent. Respondents should first be asked if they have soap or a substitute, then asked if they have used it over the previous hours and if so, what for. Surveyors should check answers against the following list of critical times for handwashing, without prompting the respondent there may be other times mentioned (like when washing clothes or dishes): 1) after defecating, 2) after handling children's faeces or wiping/washing a child's bottom, 3) after handling faeces or wiping/washing the bottom of a sick or elderly relative AND 1) before drawing water, 2) before preparing food 3) before feeding children or sick or elderly relative, 4) before eating. Model questions for survey: Do you have soap / ash / sand for handwashing? If YES, have you used it today or yesterday? If YES, what did you use it for? Probe to find out when.",,,Yes,,,"Nb of people reporting having washed their hands with soap or substitute after contact with faeces and before contact with food and water",,"H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, (R) Early Recovery, C3.2 Service Provision - WASH, C3.9 Service Provision - WASH &/or Shelter, E1 Access and Learning Environment, S2.1 Access, S2.2 Assistance, F7 Utilization",,SPHERE,,"Follow-up of trends. Target: 100%","Baseline, Outcome",Percentage,Community
"Water Sanitation Hygiene",W2-1,"W2.1 Access and Water Quantity","Quantity of water used per person per day for drinking, cooking, hygiene and laundry","The quantity of water used per person per day includes all the water collected at public water points, water supplied via household connections water used for laundry or bathing collected from surface water sources or used in situ, rainwater collected at household level etc. Use for drinking, cooking and hygiene includes bathing and laundry but excludes use for livestock, gardening, construction etc.",n/a,N/A,"For each household surveyed, estimate the total volume of the water used per day and ascertain the number of people that household. Add all the daily household use figures and divide by the total number of people belonging to the households in the survey. Alternatively, estimate the total volume of water used per day for each household surveyed, add all the daily household use figures and divide by an estimate of average household size in the population concerned. It is important to try to find out all the sources of water that are being used for drinking, cooking and hygiene, including those that are used at source (e.g. washing clothes at a river). For more rapid assessment, a survey among people at water-collection points could be used, though this may provide biased sample, for instance where surface water sources provide a substantial part of the water used or where some people do not have access to the water-collection points.",N/A,,No,,,n/a,,"C3.2 Service Provision - WASH, S1.1 Access, S1.2 Assistance, F7 Utilization, E1 Access and Learning Environment, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"Context specific","Baseline, Output","Litres per person",Community
"Water Sanitation Hygiene",W2-2,"W2.1 Access and Water Quantity","Likelihood of a critical fall in the quantity of water available per day within the next month","It is important to assess the likelihood of a critical fall (temporary or permanent) in water availability on the short term to determine whether or not action needs to be taken to secure supplies or to look for other alternatives to ensure that the population continues to have access to sufficient water for health and livelihoods",n/a,N/A,"A critical fall in water availability is defined as a fall that would lead to a reduction in the quantity of water used for drinking, cooking and hygiene below an acceptable level for protecting health. This may also involve a reduction in the quantity of water used for essential livelihoods activities. Water available is the quantity water per person per day that is potentially accessible to the population concerned. Availability may be reduced by events such as falling availability of local water resources at the end of the rainy season, mechanical, financial, logistics or other problems with a managed water-supply system, an increase in the population on sites, security incidents that interrupt a water-tankering operation etc.","Published data such as hydrological and hydrogeological records, and programme reports may also be available.",,No,,,n/a,,"(R) Early Recovery, F7 Utilization, C3.2 Service Provision - WASH, E1 Access and Learning Environment, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, S1.1 Access, S1.2 Assistance, R3 Capacity Building, R4 Governance, N1 Prevention and Management of Acute Malnutrition",,,,n/a,Baseline,"Very likely / Somewhat Likely / Unlikely",Community
"Water Sanitation Hygiene",W2-3,"W2.1 Access and Water Quantity","Average time required (minutes) for one water collection journey, including travel in each direction and queuing","To limit the amount of survey questions asked, it would be sufficient to inquire only about the source of the drinking-water and the time needed for the collection. This may be justified if it can be assumed that most households use the same source for drinking and nondrinking-water. If this is not the case, the source and the time needed to collect the water should be assessed in a separate set of questions because the amount of water not used for drinking determines how much water is available for hygiene purposes. For more rapid assessment, a survey among people at water-collection points could be used.",n/a,"Sex and age disaggregation possible","To limit the amount of survey questions asked, it would be sufficient to inquire only about the source of the drinking-water and the time needed for the collection. This may be justified if it can be assumed that most households use the same source for drinking and nondrinking-water. If this is not the case, the source and the time needed to collect the water should be assessed in a separate set of questions because the amount of water not used for drinking determines how much water is available for hygiene purposes. For more rapid assessment, a survey among people at water-collection points could be used. Model questions for survey How long does it take you to go to your main water source, get water, and come back?",N/A,,No,,,n/a,,"C3.2 Service Provision - WASH, E1 Access and Learning Environment, F7 Utilization, H3 Communicable diseases, H6 Environmental Health, S1.1 Access, S1.2 Assistance, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"Context specific","Baseline, Outcome",Minutes,Household
"Water Sanitation Hygiene",W2-4,"W2.2 Water Quality","Proportion of households with access to a source of safe drinking-water","Sources of safe drinking-water include boreholes, protected wells and protected springs, adequately treated and prope distributed surface water and rainwater collected on clean surfaces and properly stored. Safe drinking-water is defined by the World Health Organization as water that 'does not represent any significant risk to health over a lifetime of consumption, including different sensitivities that may occur between life stages. Those at greatest risk of waterborne disease are infants and young children, people who are debilitated or living under unsanitary conditions and the elderly. Safe drinking-water is suitable for all usual domestic purposes, including personal hygiene. In the context of emergencies, drinking- water may be considered safe when: 1) A sanitary inspection indicates a low risk of faecal contamination, 2) There are no faecal coliforms detectable in any 100-ml sample, 3) For piped water supplies, or for all water supplies at times of risk or presence of diarrhoea epidemic, water is treated with a disinfectant so that there is a free chlorine residual at the tap of 0.5 mg per litre and turbidity is below 5 NTU, 4) No negative health effect is detected due to short-term use of water contaminated by chemical or radiological source and assessment shows no significant probability of such an effect.","Total nb of households in the sample",N/A,"It is important to establish in each household whether sufficient safe drinking-water is available for drinking and cooking for all household members. If this is not the case then the result should be recorded as negative. Ensure that respondents clearly identify water that is used for drinking and cooking. Water used solely for laundry and bathing may not need to be of the same quality. Check the water sources mentioned by the respondents in the survey to verify their condition. Where relevant and possible, carry out water-quality analysis and checking of treatment processes. Model questions for survey What is the main source of drinking-water for this household? Do you collect drinking-water from any other sources?","Review Data from Joint monitoring Programme",,No,,,"Nb of households with access to a source of safe drinking-water",,"C3.2 Service Provision - WASH, E1 Access and Learning Environment, F7 Utilization, (R) Early Recovery, S1.1 Access, S1.2 Assistance, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, R3 Capacity Building, R4 Governance, N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding",,,,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?","Baseline, Outcome",Percentage,Household
"Water Sanitation Hygiene",W2-5,"W2.3 Water Facilities","Access to appropriate bathing facilities","This indicator is expressed in qualitative terms, but some quantitative data may be used, such as the number of people per public bathing cubicle or the number of households with a bathing place.",N/A,"Disagregation by sex of the # of communal bathing facilities availbale, respecting a ratio of 6 doors for women and 4 doors for men","Appropriate bathing facilities may include bathrooms, showers and other bathing areas at household level, or communal facilities where this is not possible or not the preferred option for the population. To be appropriate, they must be accessible to all users, provide sufficient privacy and safety, have a convenient supply of water and be easy to maintain a clean and hygienic state, including the correct disposal of wastewater. Communal facilities need to be separated by sex, respecting a ratio of 6 doors for women against 4 doors for men, differentiated with use of a pictogramm, lockable from the inside and with light. In order to be safe, their location and their design  should be determined based on the needs expressed by the female and male users.  Sufficient access is a level of access that allows people to bathe as frequently as they would under normal circumstance",N/A,,No,,,N/A,,"C3.2 Service Provision - WASH, (R) Early Recovery, R3 Capacity Building, R4 Governance, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, S1 Shelter, S1.1 Access, S1.2 Assistance, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"Context specific","Baseline, Outcome","None / limited / sufficient",Community
"Water Sanitation Hygiene",W2-6,"W2.3 Water Facilities","Access to appropraite laundry facilities","This indicator is expressed in qualitative terms, but some quantitative data may be used, such as the number of people per public washing basin. The scoring range for this indicator only goes as far as '2', which reflects its relative lack of importance compared with most other indicators.",N/A,N/A,"Appropriate laundry facilities may include equipment (buckets, basins etc.) at household level, suitable locations by the side of water bodies (avoiding the risk of contaminating drinking-water) where this is normal practice, or communal. Appropriate laundry facilities. To be appropriate, they must be accessible to all users, provide sufficient safety, have a convenient supply of water and be easy to maintain in a clean and hygienic state, including the correct disposal of wastewater. The issue of private laundry areas for women and girls to wash and dry under-garments and sanitary cloths is addressed in the following indicator: Accessibility of appropriate sanitary protection materials for menstruation, and underwear, for women and girls. Sufficient access is a level of access that allows people to wash clothes and bedding as frequently as they would under normal circumstances.",N/A,,No,,,N/A,,"C3.2 Service Provision - WASH, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, S1.1 Access, S1.2 Assistance, (R) Early Recovery, R3 Capacity Building, R4 Governance, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"Context specific","Baseline, Outcome","None / limited / sufficient",Community
"Water Sanitation Hygiene",W3-1,"W3.1 Environment","Presence of human faeces on the ground on and around the site","Presence should clearly be the result of recent scattered defecation by a significant number of people. One isolated stool does not constitute a substantial presence.",N/A,N/A,"Surveyors should look for the obvious places where people may go to defecate on the ground. Faeces that were clear deposited more than a few days ago should not be counted; only recently deposited faeces indicate an ongoing problem of access to toilets. Organised open defecation areas that are too close to water sources and living areas or that do not provide adequate protection from contamination should be counted as substantial presence.",N/A,,Yes,,,N/A,,"C3.2 Service Provision - WASH, S1.1 Access, E1 Access and Learning Environment, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"No Presence","Baseline, Outcome",Yes/No,Community
"Water Sanitation Hygiene",W3-2,"W3.2 Toilet Facilities","Average number of users per functioning toilet","A functioning toilet is one that is fully constructed, in working order, of a type and in a location acceptable to intended users. This definition excludes toilets that do not adequately protect users living areas, drinking-water sources and use from contamination, latrines that are full, toilets that are too dirty to use, toilets with broken superstructures, toilets that are inaccessible or located where people are embarrassed to use them etc.","Estimated or counted number of functioning toilets","Possible disaggregation by sex and age","The number of users per functioning toilet is a crude indicator of the extent to which people have access to toilets, which is important for preventing the spread of faecal diseases. This indicator does not identify actual access to the toilets available",N/A,,Yes,,,"Estimated population at the site",,"C3.2 Service Provision - WASH, S1.1 Access, S1.2 Assistance, E1 Access and Learning Environment, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"Context specific","Baseline, Output","Person per Toilet",Community
"Water Sanitation Hygiene",W3-3,"W3.2 Toilet Facilities","Proportion of households with access to a functioning toilet","A functioning toilet is one that is fully constructed, in working order, of a type and in a location acceptable to intended users. This definition excludes toilets that do not adequately protect users living areas, drinking-water sources and use from contamination, latrines that are full, toilets that are too dirty to use, toilets with broken superstructures, toilets that are inaccessible or located where people are embarrassed to use them etc. Access is defined by the intended users of the toilets. If they report that all household members can use a clean and private functioning toilet when they need, this means they have access to a functioning toilet.","Total number of households in the same location","Possible disaggregation by sex and age","It is important to measure whether or not people in the population concerned actually have access to a functioning toilet. Access may be limited by a number of technical and social reasons. This indicator describes the extent to which people can relieve themselves comfortably and with dignity, and the extent to which they can avoid contaminating the living environment and drinking-water sources. Where communal latrines are in place, it is advisible to consult separatly women and men about their access to functioning toilets.

Model questions for survey
Do all the members of this household have access to a functioning toilet? 
IF NOT, how many household members do have access, and how many do not for any reason?","Review Data from Joint monitoring Programme",,Yes,,,"Nb of households reporting access to a functioning toilet",,"C3.2 Service Provision - WASH, R3 Capacity Building, R4 Governance, H3 Communicable diseases, H6 Environmental Health, S1.1 Access, S1.2 Assistance, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?","Baseline, Outcome",Percentage,"Household and Facilities"
"Water Sanitation Hygiene",W3-4,"W3.2 Toilet Facilities","Proportion of toilets with functioning and convenient handwashing facilities","Functioning handwashing facilities consist of an adequate and continuous supply of water, with means to wet hands before using soap and then rinse them in clean water after. Convenient handwashing facilities mean that they are located next to the toilet, or at the household where they can be reached directly and within a matter of seconds from the toilet","Total nb of toilets surveyed",N/A,"If different household members use different toilets, presence or absence of handwashing facilities should be recorded for each toilet used. Only the main toilet used by each household member should be included in the survey (e.g. if people use a household toilet but sometimes use a public toilet in the market, only the household toilet should be included). Toilet survey (observation) : Where predominantly or exclusively public or communal toilets are used, it may be more convenient to do a survey of toilets and inspect them to check the presence or absence and condition of handwashing facilities. Model questions for survey IF HOUSEHOLD MEMBERS REPORT HAVING ACCESS TO A FUNCTIONING TOILET Is there a place for you to wash your hands after using the toilet? Is there always soap and water available? How long does it take to go from the toilet to the place for washing hands?",N/A,,No,,,"Nb of toilets with functioning and convenient handwashing facilities (or observed during toilet survey or reported during household survey)",,"C3.2 Service Provision - WASH, (R) Early Recovery, E1 Access and Learning Environment, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, R3 Capacity Building, R4 Governance, S1.1 Access, S1.2 Assistance, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?",Output,Percentage,Community
"Water Sanitation Hygiene",W3-5,"W3.2 Toilet Facilities","Proportion of toilets that are clean","Clean toilets are those that are free from faeces inside and around the structure itself, including the squatting plate. Toilets where there are traces of faeces, urine or anal cleansing materials from careless use or incomplete cleaning should be considered clean, as opposed to those with stools inside or outside. Toilets that have a very strong bad smell inside may also be considered dirty by users and if so should be defined as dirty for this indicator.","Total nb of toilets surveyed",N/A,"Cleanliness of toilets can be checked during a household survey or a dedicated toilet survey (particularly where there are many public toilets not associated with specific households). Toilets that are clean because they are clearly not in use should not be included in the sample",N/A,,No,,,"Nb of clean toilets",,"C3.2 Service Provision - WASH, E1 Access and Learning Environment, H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, S1.1 Access, S1.2 Assistance, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?",Output,Percentage,Community
"Water Sanitation Hygiene",W4-1,"W4 Vector Control","Degree of vector-borne disease risk","Malaria: Malaria is one of the major causes of disease and loss of life in emergencies. This indicator is designed to estimate the risk of malaria to the population concerned in general terms, taking into account the following factors: 1) whether or not the area is endemic for malaria; 2) whether or not it is the malaria season; 3) the degree of immunity of the population; 4) the adequacy of measures in place to control malaria transmission. Control measures include rapid and effective management of malaria cases and prevention of transmission through the use of insecticide-treated mosquito nets, the use of repellents, protecting shelters, indoor residual spraying and control of breeding sites. Mosquito-borne diseases other than malaria: diseases such as dengue fever and yellow fever, and other vector-borne diseases such as river blindness and the plague, may be a danger to public health in some circumstances. This indicator is designed to estimate the risk of such diseases to the population concerned in general terms, taking into account the following factors: 1) whether or not the area is endemic for the disease; 2) whether or not it is the season during which the disease is normally transmitted; 3) the degree of immunity of the population; 4) the adequacy of measures in place to control disease transmission. Fly-borne diseases: There is some evidence to suggest that non-biting flies (houseflies, blowflies and several other species) are involved in the transmission of disease by mechanically transferring germs from one place to another, and that the higher the density of flies in a settlement, the greater the intensity of disease transmission. Diseases that may be transmitted by flies include diarrhoeas and other faecal-oral diseases such as typhoid, as well a trachoma. For all of these diseases, flies are just one of a number of pathways of transmission. The density of flies is hard to define in absolute terms. People in the population concerned may report a high (or highest than normal) fly density, though this needs to be interpreted in the context of normal local conditions.",N/A,N/A,"Seek data from health professionals, vector-control specialists and malaria specialists in ministry of health, NGOs, Red Cross/Red Crescent, WHO etc.","Explore prevalence and incidence rates",,,,,N/A,,"H1 General clinical services & essential trauma care, H3 Communicable diseases, H6 Environmental Health, C3.2 Service Provision - WASH, S1.1 Access, S1.2 Assistance, E1 Access and Learning Environment, N1 Prevention and Management of Acute Malnutrition",,SPHERE,,N/A,"Baseline, Outcome","High / Not High",Community
